rank,pc_number,pc_index,coefficient,abs_coefficient
60,140,139,-0.2347535490989685,0.2347535490989685
61,115,114,0.23375020921230316,0.23375020921230316
62,130,129,0.2294616848230362,0.2294616848230362
63,51,50,-0.2286229282617569,0.2286229282617569
64,44,43,-0.22773055732250214,0.22773055732250214
65,346,345,0.2270895540714264,0.2270895540714264
66,164,163,-0.22611723840236664,0.22611723840236664
67,121,120,0.22549110651016235,0.22549110651016235
68,143,142,-0.22441592812538147,0.22441592812538147
69,419,418,-0.2241159975528717,0.2241159975528717
70,177,176,-0.22343261539936066,0.22343261539936066
71,375,374,0.2205919474363327,0.2205919474363327
72,436,435,0.2201191633939743,0.2201191633939743
73,200,199,-0.21814560890197754,0.21814560890197754
74,294,293,-0.21769386529922485,0.21769386529922485
75,187,186,0.21753592789173126,0.21753592789173126
76,491,490,0.2174030840396881,0.2174030840396881
77,147,146,0.2151753306388855,0.2151753306388855
78,77,76,-0.21231615543365479,0.21231615543365479
79,26,25,-0.21108169853687286,0.21108169853687286
80,443,442,-0.20914563536643982,0.20914563536643982
81,7,6,-0.20894412696361542,0.20894412696361542
82,461,460,-0.20813952386379242,0.20813952386379242
83,100,99,-0.20777562260627747,0.20777562260627747
84,22,21,-0.20714262127876282,0.20714262127876282
85,316,315,0.20706970989704132,0.20706970989704132
86,361,360,0.20440825819969177,0.20440825819969177
87,472,471,0.2037999927997589,0.2037999927997589
88,431,430,-0.20104491710662842,0.20104491710662842
89,486,485,-0.20050695538520813,0.20050695538520813
90,35,34,-0.19883567094802856,0.19883567094802856
91,37,36,0.1972840428352356,0.1972840428352356
92,290,289,-0.19356891512870789,0.19356891512870789
93,244,243,0.18998314440250397,0.18998314440250397
94,269,268,-0.18958432972431183,0.18958432972431183
95,125,124,0.18779823184013367,0.18779823184013367
96,31,30,0.18665564060211182,0.18665564060211182
97,95,94,-0.1864602118730545,0.1864602118730545
98,259,258,0.18539342284202576,0.18539342284202576
99,166,165,0.18531614542007446,0.18531614542007446
100,447,446,0.1849582940340042,0.1849582940340042
101,183,182,0.18467074632644653,0.18467074632644653
102,129,128,-0.18396861851215363,0.18396861851215363
103,89,88,-0.18345876038074493,0.18345876038074493
104,152,151,-0.18319696187973022,0.18319696187973022
105,201,200,-0.1812094748020172,0.1812094748020172
106,421,420,-0.17994308471679688,0.17994308471679688
107,102,101,-0.17962150275707245,0.17962150275707245
108,49,48,0.1789574921131134,0.1789574921131134
109,460,459,-0.1757292002439499,0.1757292002439499
110,377,376,-0.17548120021820068,0.17548120021820068
111,299,298,0.1754445731639862,0.1754445731639862
112,396,395,-0.1745026856660843,0.1745026856660843
113,30,29,0.171652689576149,0.171652689576149
114,176,175,-0.17127400636672974,0.17127400636672974
115,160,159,0.1711495816707611,0.1711495816707611
116,155,154,-0.17079509794712067,0.17079509794712067
117,131,130,0.1705819070339203,0.1705819070339203
118,193,192,-0.17045748233795166,0.17045748233795166
119,120,119,-0.169398233294487,0.169398233294487
120,67,66,0.16933849453926086,0.16933849453926086
121,350,349,0.1690947264432907,0.1690947264432907
122,415,414,-0.16867421567440033,0.16867421567440033
123,312,311,0.16778942942619324,0.16778942942619324
124,508,507,0.1676120162010193,0.1676120162010193
125,395,394,-0.16729025542736053,0.16729025542736053
126,45,44,0.16607242822647095,0.16607242822647095
127,335,334,0.16601599752902985,0.16601599752902985
128,406,405,0.16559913754463196,0.16559913754463196
129,471,470,-0.16538263857364655,0.16538263857364655
130,266,265,-0.1628274768590927,0.1628274768590927
131,96,95,0.1625605672597885,0.1625605672597885
132,239,238,-0.1625056266784668,0.1625056266784668
133,328,327,-0.16197410225868225,0.16197410225868225
134,92,91,0.16065143048763275,0.16065143048763275
135,210,209,0.16040512919425964,0.16040512919425964
136,148,147,0.16029830276966095,0.16029830276966095
137,364,363,0.1595255434513092,0.1595255434513092
138,321,320,-0.1591803878545761,0.1591803878545761
139,255,254,-0.15873456001281738,0.15873456001281738
140,69,68,0.15663526952266693,0.15663526952266693
141,90,89,0.1564408838748932,0.1564408838748932
142,337,336,-0.15639157593250275,0.15639157593250275
143,71,70,-0.15553556382656097,0.15553556382656097
144,278,277,-0.15500305593013763,0.15500305593013763
145,17,16,0.15499283373355865,0.15499283373355865
146,490,489,0.15490928292274475,0.15490928292274475
147,18,17,0.1527043581008911,0.1527043581008911
148,203,202,0.15251992642879486,0.15251992642879486
149,79,78,-0.1520981788635254,0.1520981788635254
150,296,295,0.15192128717899323,0.15192128717899323
151,99,98,0.15148691833019257,0.15148691833019257
152,489,488,-0.1497534066438675,0.1497534066438675
153,93,92,0.1493106335401535,0.1493106335401535
154,453,452,-0.1472001075744629,0.1472001075744629
155,66,65,0.14620396494865417,0.14620396494865417
156,110,109,0.14611047506332397,0.14611047506332397
157,61,60,-0.1459565907716751,0.1459565907716751
158,263,262,-0.14594951272010803,0.14594951272010803
159,46,45,0.14534354209899902,0.14534354209899902
160,104,103,-0.143110990524292,0.143110990524292
161,229,228,-0.14255134761333466,0.14255134761333466
162,107,106,-0.14069780707359314,0.14069780707359314
163,235,234,0.13962684571743011,0.13962684571743011
164,211,210,0.139032244682312,0.139032244682312
165,232,231,0.13798479735851288,0.13798479735851288
166,215,214,0.137770876288414,0.137770876288414
167,241,240,0.13725993037223816,0.13725993037223816
168,298,297,-0.13725163042545319,0.13725163042545319
169,192,191,-0.1368289738893509,0.1368289738893509
170,366,365,-0.13664261996746063,0.13664261996746063
171,363,362,0.13663063943386078,0.13663063943386078
172,354,353,-0.13591772317886353,0.13591772317886353
173,154,153,-0.13558228313922882,0.13558228313922882
174,138,137,-0.13548268377780914,0.13548268377780914
175,469,468,0.13248282670974731,0.13248282670974731
176,253,252,0.13107892870903015,0.13107892870903015
177,249,248,-0.13099750876426697,0.13099750876426697
178,97,96,0.13069643080234528,0.13069643080234528
179,122,121,-0.13050557672977448,0.13050557672977448
180,198,197,0.13036100566387177,0.13036100566387177
181,19,18,-0.12989826500415802,0.12989826500415802
182,473,472,-0.12908664345741272,0.12908664345741272
183,237,236,-0.12880095839500427,0.12880095839500427
184,205,204,0.1276540607213974,0.1276540607213974
185,43,42,0.12711867690086365,0.12711867690086365
186,82,81,-0.12666459381580353,0.12666459381580353
187,345,344,-0.12616044282913208,0.12616044282913208
188,371,370,-0.12596352398395538,0.12596352398395538
189,426,425,0.12582488358020782,0.12582488358020782
190,390,389,-0.12563158571720123,0.12563158571720123
191,367,366,0.12500302493572235,0.12500302493572235
192,292,291,-0.12472885847091675,0.12472885847091675
193,265,264,0.12460613250732422,0.12460613250732422
194,191,190,-0.12177681922912598,0.12177681922912598
195,497,496,0.1216699630022049,0.1216699630022049
196,132,131,-0.12120804190635681,0.12120804190635681
197,258,257,0.11922790855169296,0.11922790855169296
198,429,428,0.11904452741146088,0.11904452741146088
199,295,294,0.11837306618690491,0.11837306618690491
200,184,183,-0.11721758544445038,0.11721758544445038
201,281,280,0.11691123247146606,0.11691123247146606
202,307,306,0.11679232120513916,0.11679232120513916
203,225,224,0.11660777032375336,0.11660777032375336
204,351,350,0.11655239760875702,0.11655239760875702
205,236,235,-0.11604465544223785,0.11604465544223785
206,329,328,-0.11492742598056793,0.11492742598056793
207,401,400,0.11457715183496475,0.11457715183496475
208,202,201,0.114237941801548,0.114237941801548
