feature,label,category,score
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.038139982
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.042769087
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.05536207
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.062624186
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.042093583
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.041900412
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.089162994
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.14527087
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.17103928
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.19128295
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.18868703
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.17757333
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.16999884
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.1631259
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.15161825
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.12816135
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.03883325
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.06318409
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.098302956
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.032371751
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.039503548
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.026305985
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.025994188
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.033890591
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.038587498
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.03615456
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.027836741
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.02552793
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.038846077
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.04424582
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.054772538
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.09489982
