file,time,class,n_valid_pixels,n_disagree_pixels,fraction_disagree_all_pixels,n_either_positive,n_both_positive,fraction_agreement_given_positive_union,fraction_disagreement_given_positive_union
2017-03-28T04:00:00.000000000.nc,2017-03-28T04:00:00.000000000,Atmospheric River (AR),1038240,39896,0.03842656803821853,80650,40754,0.5053192808431494,0.4946807191568506
2017-03-28T17:00:00.000000000.nc,2017-03-28T17:00:00.000000000,Atmospheric River (AR),1038240,52038,0.05012135922330097,104555,52517,0.5022906604179619,0.49770933958203817
2017-03-30T22:00:00.000000000.nc,2017-03-30T22:00:00.000000000,Atmospheric River (AR),1038240,34588,0.0333140699645554,86820,52232,0.6016125316747293,0.39838746832527067
2017-04-01T06:00:00.000000000.nc,2017-04-01T06:00:00.000000000,Atmospheric River (AR),1038240,62993,0.06067286947141316,93692,30699,0.32765871152286213,0.6723412884771378
2017-04-01T20:00:00.000000000.nc,2017-04-01T20:00:00.000000000,Atmospheric River (AR),1038240,23208,0.022353213129912158,45648,22440,0.49158780231335436,0.5084121976866456
2017-04-03T01:00:00.000000000.nc,2017-04-03T01:00:00.000000000,Atmospheric River (AR),1038240,55000,0.052974264139312686,94887,39887,0.4203631688218618,0.5796368311781382
2017-04-04T18:00:00.000000000.nc,2017-04-04T18:00:00.000000000,Atmospheric River (AR),1038240,82220,0.07919170904607797,116822,34602,0.29619420999469276,0.7038057900053072
2017-04-05T03:00:00.000000000.nc,2017-04-05T03:00:00.000000000,Atmospheric River (AR),1038240,44551,0.04291011712128217,71943,27392,0.38074586825681445,0.6192541317431856
2017-04-05T04:00:00.000000000.nc,2017-04-05T04:00:00.000000000,Atmospheric River (AR),1038240,57404,0.0552897210664201,91719,34315,0.374131859265801,0.625868140734199
2017-04-05T08:00:00.000000000.nc,2017-04-05T08:00:00.000000000,Atmospheric River (AR),1038240,46867,0.045140815225766684,82886,36019,0.4345607219554569,0.5654392780445431
2017-04-06T20:00:00.000000000.nc,2017-04-06T20:00:00.000000000,Atmospheric River (AR),1038240,31049,0.029905416859300354,54305,23256,0.42824785931313875,0.5717521406868612
2017-04-08T14:00:00.000000000.nc,2017-04-08T14:00:00.000000000,Atmospheric River (AR),1038240,51574,0.04967444906765295,81466,29892,0.36692607959148604,0.633073920408514
2017-04-10T01:00:00.000000000.nc,2017-04-10T01:00:00.000000000,Atmospheric River (AR),1038240,52699,0.050758013561411616,119826,67127,0.5602039624121643,0.4397960375878357
2017-04-11T12:00:00.000000000.nc,2017-04-11T12:00:00.000000000,Atmospheric River (AR),1038240,63662,0.06131722915703498,85302,21640,0.25368690065883565,0.7463130993411643
2017-04-13T15:00:00.000000000.nc,2017-04-13T15:00:00.000000000,Atmospheric River (AR),1038240,43263,0.041669556171983355,70205,26942,0.3837618403247632,0.6162381596752368
2017-04-14T17:00:00.000000000.nc,2017-04-14T17:00:00.000000000,Atmospheric River (AR),1038240,60852,0.05861072584373555,110388,49536,0.4487444287422546,0.5512555712577454
2017-04-16T15:00:00.000000000.nc,2017-04-16T15:00:00.000000000,Atmospheric River (AR),1038240,50633,0.04876810756665126,70752,20119,0.2843594527363184,0.7156405472636815
2017-04-17T22:00:00.000000000.nc,2017-04-17T22:00:00.000000000,Atmospheric River (AR),1038240,60013,0.05780262752350131,101538,41525,0.40896019224329805,0.591039807756702
2017-04-19T05:00:00.000000000.nc,2017-04-19T05:00:00.000000000,Atmospheric River (AR),1038240,36544,0.035198027431037136,81311,44767,0.5505651141911918,0.44943488580880814
2017-04-20T15:00:00.000000000.nc,2017-04-20T15:00:00.000000000,Atmospheric River (AR),1038240,53641,0.051665318230852214,77476,23835,0.30764365739067584,0.6923563426093242
2017-04-20T19:00:00.000000000.nc,2017-04-20T19:00:00.000000000,Atmospheric River (AR),1038240,52855,0.05090826783787949,104666,51811,0.49501270708730627,0.5049872929126937
2017-04-21T01:00:00.000000000.nc,2017-04-21T01:00:00.000000000,Atmospheric River (AR),1038240,113314,0.10914046848512868,164804,51490,0.3124317370937599,0.6875682629062402
2017-04-23T07:00:00.000000000.nc,2017-04-23T07:00:00.000000000,Atmospheric River (AR),1038240,38687,0.03726209739559254,70045,31358,0.4476836319508887,0.5523163680491113
2017-04-24T23:00:00.000000000.nc,2017-04-24T23:00:00.000000000,Atmospheric River (AR),1038240,55541,0.05349533826475574,111500,55959,0.5018744394618834,0.4981255605381166
2017-04-25T13:00:00.000000000.nc,2017-04-25T13:00:00.000000000,Atmospheric River (AR),1038240,68020,0.06551471721374634,114237,46217,0.40457119847334927,0.5954288015266508
2017-04-28T12:00:00.000000000.nc,2017-04-28T12:00:00.000000000,Atmospheric River (AR),1038240,45068,0.04340807520419171,73297,28229,0.3851317243543392,0.6148682756456608
2017-04-28T21:00:00.000000000.nc,2017-04-28T21:00:00.000000000,Atmospheric River (AR),1038240,67010,0.06454191709046078,111390,44380,0.39841996588562706,0.6015800341143729
2017-04-30T20:00:00.000000000.nc,2017-04-30T20:00:00.000000000,Atmospheric River (AR),1038240,50968,0.049090768993681616,79185,28217,0.3563427416808739,0.6436572583191261
2017-05-02T02:00:00.000000000.nc,2017-05-02T02:00:00.000000000,Atmospheric River (AR),1038240,62533,0.06022981198952073,106583,44050,0.4132929266393327,0.5867070733606673
2017-05-03T04:00:00.000000000.nc,2017-05-03T04:00:00.000000000,Atmospheric River (AR),1038240,48976,0.0471721374633996,89394,40418,0.4521332527910151,0.547866747208985
2017-05-06T16:00:00.000000000.nc,2017-05-06T16:00:00.000000000,Atmospheric River (AR),1038240,60535,0.05830540144860533,92047,31512,0.3423468445468076,0.6576531554531924
2017-05-09T07:00:00.000000000.nc,2017-05-09T07:00:00.000000000,Atmospheric River (AR),1038240,62187,0.059896555709662506,106491,44304,0.41603515790066764,0.5839648420993323
2017-05-09T14:00:00.000000000.nc,2017-05-09T14:00:00.000000000,Atmospheric River (AR),1038240,42453,0.040889389736477114,71659,29206,0.40756918181945045,0.5924308181805495
2017-05-10T07:00:00.000000000.nc,2017-05-10T07:00:00.000000000,Atmospheric River (AR),1038240,47734,0.04597588226229003,82257,34523,0.41969680391942327,0.5803031960805767
2017-05-11T03:00:00.000000000.nc,2017-05-11T03:00:00.000000000,Atmospheric River (AR),1038240,60795,0.05855582524271845,102707,41912,0.40807345166346987,0.5919265483365301
2017-05-13T13:00:00.000000000.nc,2017-05-13T13:00:00.000000000,Atmospheric River (AR),1038240,75613,0.07282805517028818,120255,44642,0.37122780757556856,0.6287721924244314
2017-05-21T03:00:00.000000000.nc,2017-05-21T03:00:00.000000000,Atmospheric River (AR),1038240,64634,0.06225342887964247,110265,45631,0.4138303178705845,0.5861696821294154
2017-05-22T00:00:00.000000000.nc,2017-05-22T00:00:00.000000000,Atmospheric River (AR),1038240,35167,0.03387174449067653,61164,25997,0.42503760381924005,0.57496239618076
2017-05-22T03:00:00.000000000.nc,2017-05-22T03:00:00.000000000,Atmospheric River (AR),1038240,63790,0.06144051471721375,102344,38554,0.37670991948721955,0.6232900805127805
2017-05-22T23:00:00.000000000.nc,2017-05-22T23:00:00.000000000,Atmospheric River (AR),1038240,62765,0.06045326706734474,95279,32514,0.34125043293905266,0.6587495670609473
2017-05-25T00:00:00.000000000.nc,2017-05-25T00:00:00.000000000,Atmospheric River (AR),1038240,60131,0.05791628139929111,79386,19255,0.242549064066712,0.7574509359332879
2017-05-26T11:00:00.000000000.nc,2017-05-26T11:00:00.000000000,Atmospheric River (AR),1038240,48003,0.04623497457235321,72051,24048,0.3337635841279094,0.6662364158720906
2017-05-26T13:00:00.000000000.nc,2017-05-26T13:00:00.000000000,Atmospheric River (AR),1038240,45127,0.043464902142086606,78693,33566,0.426543656996175,0.573456343003825
2017-05-29T21:00:00.000000000.nc,2017-05-29T21:00:00.000000000,Atmospheric River (AR),1038240,49013,0.04720777469563878,98487,49474,0.5023404104094956,0.4976595895905043
2017-05-31T22:00:00.000000000.nc,2017-05-31T22:00:00.000000000,Atmospheric River (AR),1038240,69374,0.06681884728001233,107409,38035,0.35411371486560717,0.6458862851343928
2017-06-01T08:00:00.000000000.nc,2017-06-01T08:00:00.000000000,Atmospheric River (AR),1038240,48028,0.04625905378332563,65188,17160,0.26323863287721666,0.7367613671227833
2017-06-02T21:00:00.000000000.nc,2017-06-02T21:00:00.000000000,Atmospheric River (AR),1038240,32355,0.031163314840499307,49107,16752,0.3411326287494654,0.6588673712505345
2017-06-03T11:00:00.000000000.nc,2017-06-03T11:00:00.000000000,Atmospheric River (AR),1038240,26950,0.025957389428263214,45776,18826,0.4112635442153093,0.5887364557846907
