gamma,lead_hours,global_mean_ivt,file
-0.2,36.0,170.09023013507428,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,42.0,168.655599766773,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,48.0,168.36827748426285,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,54.0,167.17404856864428,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,60.0,165.17813561264947,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,66.0,164.00249622942727,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,72.0,163.30526694020182,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,78.0,162.7402999221826,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,84.0,161.55121187132787,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,90.0,161.28505464671605,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,96.0,161.16720430193985,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,102.0,162.0901871970581,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,108.0,161.83997941583794,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,114.0,161.69918879655293,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
-0.2,120.0,161.1909412574651,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_-0.2.nc
0.0,6.0,176.77014539115578,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,12.0,175.4216871507282,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,18.0,174.06528822475605,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,24.0,175.12268785680678,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,30.0,172.8919429248265,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,36.0,170.9125517770505,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,42.0,169.54003039313227,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,48.0,169.29309834818505,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,54.0,168.0965223418864,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,60.0,166.09280213698727,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,66.0,164.92132882446822,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,72.0,164.23453044003645,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,78.0,163.6736817463985,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,84.0,162.46857368421993,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,90.0,162.21052891392927,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,96.0,162.09908913747492,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,102.0,163.1013701082996,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,108.0,162.85143512642406,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,114.0,162.72577288385722,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.0,120.0,162.1952558933702,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.0.nc
0.2,6.0,177.02431522296206,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.2.nc
0.2,12.0,175.83985320995416,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.2.nc
