feature,label,category,score
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.266771
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.24135541
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.23618842
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.25254061
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.24377566
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.2292288
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.2173549
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.20188842
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.18695133
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.22047002
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.24397694
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.24443654
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.15667773
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.33795354
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.38813577
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.33494849
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.30348499
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.29781378
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.3291262
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.29125548
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.27975486
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.32946873
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.24199314
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.33524485
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.3866757
