feature,label,category,score
specific_humidity_lev36,Specific humidity 1000 hPa,Specific humidity,0.55528844
u_component_of_wind_lev08,U wind 50 hPa,U wind,0.37719886
u_component_of_wind_lev10,U wind 100 hPa,U wind,0.42391597
u_component_of_wind_lev12,U wind 150 hPa,U wind,0.30038065
u_component_of_wind_lev14,U wind 200 hPa,U wind,0.28941966
u_component_of_wind_lev16,U wind 250 hPa,U wind,0.30753815
u_component_of_wind_lev17,U wind 300 hPa,U wind,0.33412699
u_component_of_wind_lev19,U wind 400 hPa,U wind,0.36388793
u_component_of_wind_lev21,U wind 500 hPa,U wind,0.38031915
u_component_of_wind_lev23,U wind 600 hPa,U wind,0.39052898
u_component_of_wind_lev25,U wind 700 hPa,U wind,0.37999497
u_component_of_wind_lev30,U wind 850 hPa,U wind,0.38738131
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.3992111
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.36970661
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.084276029
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.14349105
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.17318567
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.19368548
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.18948262
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.17655512
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.17535225
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.18038049
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.21857283
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.26517597
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.35847243
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.42573616
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.45652992
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.045309112
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.034646866
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.064544676
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.14021615
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.19344208
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.21012432
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.20517568
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.20528945
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.21116113
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.21686965
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.20129768
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.15040632
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.18053326
