feature,label,category,score
u_component_of_wind_lev33,U wind 925 hPa,U wind,0.0042006963
u_component_of_wind_lev36,U wind 1000 hPa,U wind,0.0045856392
v_component_of_wind_lev08,V wind 50 hPa,V wind,0.0068625047
v_component_of_wind_lev10,V wind 100 hPa,V wind,0.0049003291
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.0046062826
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.0042946582
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.0041212318
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.0041473846
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.0040030566
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.0037898587
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.0036360265
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.0033771695
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.0032208165
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.0039476204
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.0044066554
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.0031463859
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.0072681358
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.0076598328
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.0066603464
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.0060160625
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.0056380147
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.0065661423
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.0059348904
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.0053451048
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.0064274337
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.0041166582
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.0064106835
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.0088065608
