PC,pc_summary,seasonal_feature,correlation,abs_correlation
16,global_mean_score,month,0.016726066737008036,0.016726066737008036
16,global_mean_score,dayofyear,0.017962399741110226,0.017962399741110226
16,global_mean_score,hour,-0.4380325157108003,0.4380325157108003
16,global_absmean_score,sin_year,0.5749695213022319,0.5749695213022319
16,global_absmean_score,cos_year,0.11391792016772023,0.11391792016772023
16,global_absmean_score,sin_day,-0.027846925202357094,0.027846925202357094
16,global_absmean_score,cos_day,-0.04437418325066106,0.04437418325066106
16,global_absmean_score,month,-0.4014445692080498,0.4014445692080498
16,global_absmean_score,dayofyear,-0.4024158476298275,0.4024158476298275
16,global_absmean_score,hour,0.14261006325969783,0.14261006325969783
16,global_std_score,sin_year,0.6863322188011678,0.6863322188011678
16,global_std_score,cos_year,0.1761163634392467,0.1761163634392467
16,global_std_score,sin_day,-0.06949191401035336,0.06949191401035336
16,global_std_score,cos_day,-0.09689080609543506,0.09689080609543506
16,global_std_score,month,-0.4658675354133803,0.4658675354133803
16,global_std_score,dayofyear,-0.46426875145898283,0.46426875145898283
16,global_std_score,hour,0.2101919998973344,0.2101919998973344
17,global_mean_score,sin_year,0.011631851611341138,0.011631851611341138
17,global_mean_score,cos_year,-0.11044541234209741,0.11044541234209741
17,global_mean_score,sin_day,0.03787609769533852,0.03787609769533852
17,global_mean_score,cos_day,0.07122629044026971,0.07122629044026971
17,global_mean_score,month,0.07363287137955227,0.07363287137955227
17,global_mean_score,dayofyear,0.0707171550600409,0.0707171550600409
17,global_mean_score,hour,-0.4885268220901497,0.4885268220901497
17,global_absmean_score,sin_year,0.1489406009885326,0.1489406009885326
17,global_absmean_score,cos_year,0.5398210850801313,0.5398210850801313
17,global_absmean_score,sin_day,0.2851730128025066,0.2851730128025066
17,global_absmean_score,cos_day,-0.017960300110031063,0.017960300110031063
17,global_absmean_score,month,-0.16356419316368373,0.16356419316368373
17,global_absmean_score,dayofyear,-0.15835565429243226,0.15835565429243226
17,global_absmean_score,hour,-0.13765063217941978,0.13765063217941978
17,global_std_score,sin_year,0.12356391264667654,0.12356391264667654
17,global_std_score,cos_year,0.5588488140967581,0.5588488140967581
17,global_std_score,sin_day,0.34217563450807026,0.34217563450807026
17,global_std_score,cos_day,-0.05919405343632887,0.05919405343632887
17,global_std_score,month,-0.15493833265473564,0.15493833265473564
17,global_std_score,dayofyear,-0.14838411503030194,0.14838411503030194
17,global_std_score,hour,-0.14555410544322764,0.14555410544322764
18,global_mean_score,sin_year,-0.03441677355587348,0.03441677355587348
18,global_mean_score,cos_year,-0.07012963020884179,0.07012963020884179
18,global_mean_score,sin_day,0.09965490386408934,0.09965490386408934
18,global_mean_score,cos_day,-0.03323394193068448,0.03323394193068448
18,global_mean_score,month,0.01836373784524211,0.01836373784524211
18,global_mean_score,dayofyear,0.01638602455220369,0.01638602455220369
18,global_mean_score,hour,0.3909439850798103,0.3909439850798103
18,global_absmean_score,sin_year,-0.060865966664983534,0.060865966664983534
18,global_absmean_score,cos_year,0.21914909081474584,0.21914909081474584
18,global_absmean_score,sin_day,-0.02039072440156241,0.02039072440156241
18,global_absmean_score,cos_day,0.05869410786110622,0.05869410786110622
18,global_absmean_score,month,0.08250912107798652,0.08250912107798652
18,global_absmean_score,dayofyear,0.08064627621448776,0.08064627621448776
18,global_absmean_score,hour,-0.1872907917322794,0.1872907917322794
18,global_std_score,sin_year,-0.13762935404172844,0.13762935404172844
18,global_std_score,cos_year,0.19188124237084903,0.19188124237084903
18,global_std_score,sin_day,-0.16951810922727098,0.16951810922727098
18,global_std_score,cos_day,0.006411826842035015,0.006411826842035015
18,global_std_score,month,0.1452030358173851,0.1452030358173851
18,global_std_score,dayofyear,0.14300933345722763,0.14300933345722763
18,global_std_score,hour,-0.04717867445041112,0.04717867445041112
19,global_mean_score,sin_year,0.060518670885460674,0.060518670885460674
19,global_mean_score,cos_year,0.29194480708193704,0.29194480708193704
19,global_mean_score,sin_day,0.04799324681588559,0.04799324681588559
19,global_mean_score,cos_day,-0.1998611553499818,0.1998611553499818
19,global_mean_score,month,0.13297769474582258,0.13297769474582258
19,global_mean_score,dayofyear,0.12981448438431722,0.12981448438431722
19,global_mean_score,hour,-0.23627929145097512,0.23627929145097512
19,global_absmean_score,sin_year,0.14936456701440598,0.14936456701440598
19,global_absmean_score,cos_year,0.22396679961443366,0.22396679961443366
19,global_absmean_score,sin_day,-0.09261015133877346,0.09261015133877346
19,global_absmean_score,cos_day,0.5590896704517659,0.5590896704517659
19,global_absmean_score,month,-0.13723885301766883,0.13723885301766883
19,global_absmean_score,dayofyear,-0.13707448051140503,0.13707448051140503
19,global_absmean_score,hour,-0.16832499138629026,0.16832499138629026
19,global_std_score,sin_year,0.12496982874708343,0.12496982874708343
19,global_std_score,cos_year,0.2445984900071446,0.2445984900071446
19,global_std_score,sin_day,-0.05426198968014718,0.05426198968014718
19,global_std_score,cos_day,0.5741363221507562,0.5741363221507562
19,global_std_score,month,-0.11663005692777591,0.11663005692777591
