PC,feature,mean_corr,mean_abs_corr,max_abs_corr
22,u850,0.14681213593081927,0.14681213593081927,0.25914995915640393
38,cos_longitude,0.05495933374758608,0.1464424072403492,0.40206029639956037
31,cos_longitude,0.05164556517801871,0.1463269139806646,0.3419534066224717
28,msl,0.14529113417325182,0.1454955653922864,0.350621817084196
6,fractional_lsm,-0.14186811053593834,0.14376284035305453,0.260904612859482
4,2t,0.10923308958615392,0.14267014872453107,0.3287740330572039
31,sin_longitude,0.06507688042494476,0.1421051121523131,0.3716927896773311
6,binary_land,-0.1397767543519257,0.14157122436517847,0.2591298970269913
33,msl,0.1400454386126173,0.14063479837974358,0.27248818594046403
18,fractional_lsm,0.13691057235367451,0.13892552807779845,0.3124905450178907
28,v850,-0.13839462642367806,0.13839462642367806,0.2436391153575531
18,v850,-0.13826068827671523,0.13826068827671523,0.2484897061569932
16,fractional_lsm,-0.061080744294458506,0.13758499162415255,0.32757191724599677
18,binary_land,0.13562973355582056,0.13758217789921365,0.30947579188671465
