target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
tp,50,1.0,0.2159416675567627,0.0018961622506264392,0.46475886758030494,11184264,3697362,50
tp,100,1.0,0.2615973949432373,0.0018401274442162224,0.5114889342980734,11184264,3697362,100
tp,200,1.0,0.31441396474838257,0.0017730960668787502,0.5608374796004625,11184264,3697362,200
tp,400,1.0,0.37658005952835083,0.0016907976619224682,0.6137153319252043,11184264,3697362,400
t50,5,1.0,0.0967598557472229,6.552324526117173,0.3260831579868365,11184264,3697362,5
t50,10,1.0,0.0823637843132019,6.604334430990543,0.31798197089615193,11184264,3697362,10
t50,25,1.0,0.19157123565673828,6.19890060521855,0.4448996209411894,11184264,3697362,25
t50,50,1.0,0.2845720052719116,5.831452675064222,0.5412164865685426,11184264,3697362,50
t50,100,1.0,0.48364710807800293,4.954126491442552,0.6970423087488296,11184264,3697362,100
t50,200,1.0,0.561772346496582,4.563979653583078,0.7505615191123344,11184264,3697362,200
t50,400,1.0,0.6246060132980347,4.2241319024125525,0.7908514601444107,11184264,3697362,400
t250,5,1.0,0.38046735525131226,5.82262760689151,0.6205925481776489,11184264,3697362,5
t250,10,1.0,0.3913636803627014,5.771196521480687,0.6295991803236773,11184264,3697362,10
t250,25,1.0,0.4676194190979004,5.397566861776124,0.6868711274569851,11184264,3697362,25
t250,50,1.0,0.6690148711204529,4.255897469282239,0.818307789348042,11184264,3697362,50
t250,100,1.0,0.7194921970367432,3.9179547538773565,0.8484416156979389,11184264,3697362,100
t250,200,1.0,0.7695733308792114,3.5510214880655977,0.8774098374253129,11184264,3697362,200
t250,400,1.0,0.8024418950080872,3.288019227772202,0.8960884409628425,11184264,3697362,400
t500,5,1.0,0.5419328808784485,7.458915076841615,0.736971776711898,11184264,3697362,5
t500,10,1.0,0.5468642711639404,7.418656014519582,0.740162726362121,11184264,3697362,10
t500,25,1.0,0.6610608100891113,6.416112537319832,0.8131674178323598,11184264,3697362,25
t500,50,1.0,0.7811329960823059,5.1558617647993366,0.8842312623337173,11184264,3697362,50
t500,100,1.0,0.8100652098655701,4.8030087895627664,0.900305805082536,11184264,3697362,100
t500,200,1.0,0.8411759734153748,4.392069840186868,0.9172823811702558,11184264,3697362,200
t500,400,1.0,0.863422155380249,4.072876808901576,0.9292360207698798,11184264,3697362,400
t600,5,1.0,0.5381098985671997,7.478280726021691,0.73456709820685,11184264,3697362,5
t600,10,1.0,0.5494136810302734,7.386206178920901,0.7419315177572667,11184264,3697362,10
t600,25,1.0,0.6617883443832397,6.399215483265861,0.8136069454265459,11184264,3697362,25
t600,50,1.0,0.7816088199615479,5.142212225577235,0.8846189560499698,11184264,3697362,50
t600,100,1.0,0.8104693293571472,4.790404687084385,0.900612688368617,11184264,3697362,100
t600,200,1.0,0.8405889868736267,4.393307555320338,0.9170046707430817,11184264,3697362,200
t600,400,1.0,0.8626899123191833,4.07740303752223,0.9288716057885302,11184264,3697362,400
t700,5,1.0,0.5421679019927979,7.732423601682681,0.7374043115697761,11184264,3697362,5
t700,10,1.0,0.5564196705818176,7.611121633233116,0.7468111666948032,11184264,3697362,10
t700,25,1.0,0.6554142236709595,6.708280417034193,0.809718978387098,11184264,3697362,25
t700,50,1.0,0.7777585387229919,5.387348627853696,0.8827602610761685,11184264,3697362,50
t700,100,1.0,0.8065690398216248,5.026035046614272,0.89876180852027,11184264,3697362,100
t700,200,1.0,0.838229775428772,4.596336207656428,0.9159479763349834,11184264,3697362,200
t700,400,1.0,0.8597078919410706,4.280348856960175,0.9274100724909737,11184264,3697362,400
t850,5,1.0,0.5149590969085693,8.381326591716357,0.7195493912215886,11184264,3697362,5
t850,10,1.0,0.5258667469024658,8.28655076150199,0.7269028626690568,11184264,3697362,10
t850,25,1.0,0.6428942680358887,7.19154177925998,0.8021721979061825,11184264,3697362,25
t850,50,1.0,0.7656025886535645,5.826396123219564,0.8760082680041716,11184264,3697362,50
t850,100,1.0,0.8007426261901855,5.371935835977054,0.8957171184692667,11184264,3697362,100
t850,200,1.0,0.8325616121292114,4.92437525625624,0.9129704728787256,11184264,3697362,200
t850,400,1.0,0.8552350997924805,4.57883716030616,0.9250910703453046,11184264,3697362,400
t1000,5,1.0,0.4933854937553406,9.296001386868872,0.704583103194085,11184264,3697362,5
t1000,10,1.0,0.5378819704055786,8.878382078676324,0.7356074767640902,11184264,3697362,10
t1000,25,1.0,0.6446667909622192,7.78529810261822,0.8034425877112349,11184264,3697362,25
t1000,50,1.0,0.7724673748016357,6.229872987778134,0.8800572582620098,11184264,3697362,50
t1000,100,1.0,0.806774914264679,5.741020821104847,0.899185050038869,11184264,3697362,100
t1000,200,1.0,0.8346242904663086,5.3112071539806385,0.9141805745364087,11184264,3697362,200
t1000,400,1.0,0.8565562963485718,4.946500855380526,0.9258870785250881,11184264,3697362,400
u50,5,1.0,0.24427294731140137,13.408101129664868,0.50250568553012,11184264,3697362,5
u50,10,1.0,0.31358015537261963,12.778494913368185,0.5622172700567596,11184264,3697362,10
u50,25,1.0,0.37636852264404297,12.18004329178857,0.6162649723253024,11184264,3697362,25
u50,50,1.0,0.498859703540802,10.918537901645438,0.7105779246314997,11184264,3697362,50
u50,100,1.0,0.5922292470932007,9.849015828648502,0.7770460344742309,11184264,3697362,100
u50,200,1.0,0.6662191152572632,8.910775731287416,0.8217795787789216,11184264,3697362,200
u50,400,1.0,0.7013677358627319,8.428555643283943,0.8418315891221003,11184264,3697362,400
u250,5,1.0,0.13543540239334106,16.660062371511586,0.3770270800020044,11184264,3697362,5
u250,10,1.0,0.17774438858032227,16.24730390043847,0.4303365005218068,11184264,3697362,10
u250,25,1.0,0.5066568851470947,12.584976661608959,0.7146241433325209,11184264,3697362,25
u250,50,1.0,0.5823100805282593,11.579901390380554,0.7650990971392236,11184264,3697362,50
u250,100,1.0,0.6647088527679443,10.37502022247182,0.8164423811135235,11184264,3697362,100
u250,200,1.0,0.7391526699066162,9.151053662944495,0.860015344144504,11184264,3697362,200
u250,400,1.0,0.780265212059021,8.398994349271915,0.8835189786735335,11184264,3697362,400
u500,5,1.0,0.19580107927322388,10.579173995370168,0.4446987776523673,11184264,3697362,5
u500,10,1.0,0.3044160008430481,9.838860547842053,0.5533859073185351,11184264,3697362,10
u500,25,1.0,0.5582789778709412,7.840504981924444,0.7478885346017189,11184264,3697362,25
u500,50,1.0,0.6251699328422546,7.22249436803105,0.7913513469890637,11184264,3697362,50
u500,100,1.0,0.7045154571533203,6.412647755725685,0.8395918498833095,11184264,3697362,100
u500,200,1.0,0.7619122862815857,5.756234810774951,0.8729466646462206,11184264,3697362,200
u500,400,1.0,0.8048064708709717,5.211980026253687,0.897126750878354,11184264,3697362,400
u600,5,1.0,0.21383559703826904,9.095736886277798,0.46398243861198535,11184264,3697362,5
u600,10,1.0,0.357113242149353,8.225237588436608,0.5984253573204401,11184264,3697362,10
u600,25,1.0,0.5894315838813782,6.5731565146558095,0.7682887272937978,11184264,3697362,25
u600,50,1.0,0.6528878211975098,6.043884326345445,0.8084148087655384,11184264,3697362,50
u600,100,1.0,0.7253398895263672,5.376244511799959,0.8518759356072643,11184264,3697362,100
u600,200,1.0,0.772816002368927,4.889563497084029,0.879182569092833,11184264,3697362,200
u600,400,1.0,0.8132805824279785,4.432777578372974,0.9018417288872317,11184264,3697362,400
u700,5,1.0,0.22534990310668945,8.127342003959006,0.4756715184858877,11184264,3697362,5
u700,10,1.0,0.4009913206100464,7.146811044904732,0.6333456586069427,11184264,3697362,10
u700,25,1.0,0.6290647387504578,5.623993338471072,0.7932912310761049,11184264,3697362,25
u700,50,1.0,0.6760613918304443,5.255658143386193,0.8222953232730481,11184264,3697362,50
u700,100,1.0,0.7418627738952637,4.691600785998385,0.861361552019147,11184264,3697362,100
u700,200,1.0,0.7846640348434448,4.285031841075201,0.8858597379769654,11184264,3697362,200
u700,400,1.0,0.8209966421127319,3.9068461459163357,0.9060999625994948,11184264,3697362,400
u850,5,1.0,0.27943211793899536,6.981395247953972,0.528977602941786,11184264,3697362,5
u850,10,1.0,0.5181753635406494,5.70885841943247,0.7199455922763357,11184264,3697362,10
u850,25,1.0,0.6630080938339233,4.774352839688516,0.8142755725876163,11184264,3697362,25
u850,50,1.0,0.7004565000534058,4.5012660894553935,0.8369631310770966,11184264,3697362,50
u850,100,1.0,0.7471468448638916,4.135604405725864,0.8644184973898564,11184264,3697362,100
u850,200,1.0,0.7966309189796448,3.7089181646028795,0.8926377629447568,11184264,3697362,200
u850,400,1.0,0.8264273405075073,3.4264579287331007,0.9090914675979962,11184264,3697362,400
u1000,5,1.0,0.2863672971725464,5.151141230974483,0.5352209010985391,11184264,3697362,5
u1000,10,1.0,0.5270661115646362,4.193400311281323,0.726315607557354,11184264,3697362,10
