source,gamma,lead_hours,forecast_valid_time,global_mean_ivt,file
GraphCast,-0.2,120.0,2021-02-17 18:00:00,156.35606585881126,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_-0.2.nc
GraphCast,0.0,6.0,2021-02-13 00:00:00,156.46834525227428,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,12.0,2021-02-13 06:00:00,155.51783907608777,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,18.0,2021-02-13 12:00:00,153.50132090282244,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,24.0,2021-02-13 18:00:00,151.48040998746876,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,30.0,2021-02-14 00:00:00,150.0991704238336,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,36.0,2021-02-14 06:00:00,150.70328718841418,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,42.0,2021-02-14 12:00:00,150.87740926624085,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,48.0,2021-02-14 18:00:00,151.8315794737463,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,54.0,2021-02-15 00:00:00,152.99365588976403,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,60.0,2021-02-15 06:00:00,154.70245373722176,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,66.0,2021-02-15 12:00:00,155.00509622317108,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,72.0,2021-02-15 18:00:00,155.03320608726864,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,78.0,2021-02-16 00:00:00,154.01171278594205,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,84.0,2021-02-16 06:00:00,153.68617228654594,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,90.0,2021-02-16 12:00:00,153.24806461927426,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,96.0,2021-02-16 18:00:00,153.60411494095112,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,102.0,2021-02-17 00:00:00,153.61049124917528,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,108.0,2021-02-17 06:00:00,155.33572806888878,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,114.0,2021-02-17 12:00:00,156.3584011796386,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.0,120.0,2021-02-17 18:00:00,156.93073553632456,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.0.nc
GraphCast,0.2,6.0,2021-02-13 00:00:00,156.6489915642082,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,12.0,2021-02-13 06:00:00,155.79274507342836,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,18.0,2021-02-13 12:00:00,153.82558897238357,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,24.0,2021-02-13 18:00:00,151.85777059147728,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,30.0,2021-02-14 00:00:00,150.5211735772487,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,36.0,2021-02-14 06:00:00,151.14868838013726,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,42.0,2021-02-14 12:00:00,151.3791452583457,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,48.0,2021-02-14 18:00:00,152.36610958409963,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,54.0,2021-02-15 00:00:00,153.62203463366467,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,60.0,2021-02-15 06:00:00,155.36743408932702,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,66.0,2021-02-15 12:00:00,155.7034971819104,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
GraphCast,0.2,72.0,2021-02-15 18:00:00,155.7374713684182,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M6/pertubation_threshold_0.8/2021-02-12T18/data/gamma_0.2.nc
