target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
msl,50,1.0,0.6058779358863831,738.4094815886373,0.7787968877220697,13795974,14891868,50
msl,100,1.0,0.6872864961624146,657.7414718185254,0.8295078222297784,13795974,14891868,100
msl,200,1.0,0.7598687410354614,576.3765045523629,0.8719752928374307,13795974,14891868,200
msl,400,1.0,0.7922357320785522,536.1265592189964,0.8902896100408625,13795974,14891868,400
tp,5,1.0,0.09614431858062744,0.0020267723194480735,0.3101557740416928,13795974,14891868,5
tp,10,1.0,0.10756564140319824,0.002013926239591209,0.3280736505554935,13795974,14891868,10
tp,25,1.0,0.14394134283065796,0.0019724553344937176,0.37943584854895346,13795974,14891868,25
tp,50,1.0,0.215518057346344,0.001888195190278166,0.4642434595098864,13795974,14891868,50
tp,100,1.0,0.2627371549606323,0.0018304867410009063,0.5126271859855562,13795974,14891868,100
tp,200,1.0,0.31497979164123535,0.0017644409172934592,0.5612797751195864,13795974,14891868,200
tp,400,1.0,0.37793511152267456,0.0016814085529351097,0.6148275114850861,13795974,14891868,400
t50,5,1.0,0.16874831914901733,6.518363541790182,0.41214581601189215,13795974,14891868,5
t50,10,1.0,0.17607879638671875,6.489558416311598,0.4208844772157562,13795974,14891868,10
t50,25,1.0,0.2568838596343994,6.163120521734886,0.5083326601370475,13795974,14891868,25
t50,50,1.0,0.33974790573120117,5.809345332701446,0.5851467098214951,13795974,14891868,50
t50,100,1.0,0.5644618272781372,4.718298682046626,0.752193693238045,13795974,14891868,100
t50,200,1.0,0.6355769634246826,4.315938049055632,0.7987295631322683,13795974,14891868,200
t50,400,1.0,0.6812119483947754,4.036670913841056,0.82620425214889,13795974,14891868,400
t250,5,1.0,0.36695027351379395,5.915526195089911,0.6065487177566296,13795974,14891868,5
t250,10,1.0,0.3945643901824951,5.785067890530488,0.6290021278267278,13795974,14891868,10
t250,25,1.0,0.4780101180076599,5.371622843258343,0.6918895116392074,13795974,14891868,25
t250,50,1.0,0.6810029745101929,4.199211936767728,0.8252305501691953,13795974,14891868,50
t250,100,1.0,0.7271164655685425,3.883856466090674,0.8527186166342247,13795974,14891868,100
t250,200,1.0,0.7768107056617737,3.5124582905855304,0.8815291870081209,13795974,14891868,200
t250,400,1.0,0.80921471118927,3.2474829390079862,0.8996395739974459,13795974,14891868,400
t500,5,1.0,0.4566011428833008,8.01505389047307,0.6759523392406173,13795974,14891868,5
t500,10,1.0,0.5347657203674316,7.4162254916644015,0.7315588977943388,13795974,14891868,10
t500,25,1.0,0.6645841002464294,6.297075519256129,0.8153231087594807,13795974,14891868,25
t500,50,1.0,0.7603144645690918,5.323141054722913,0.872116760934637,13795974,14891868,50
t500,100,1.0,0.7912257313728333,4.968045550618228,0.8896474565853624,13795974,14891868,100
t500,200,1.0,0.8321841955184937,4.454136569590834,0.9123931326704459,13795974,14891868,200
t500,400,1.0,0.8571329712867737,4.109727967626995,0.9259110929240754,13795974,14891868,400
t600,5,1.0,0.43575215339660645,8.17531885114404,0.6603325868293309,13795974,14891868,5
t600,10,1.0,0.5280246138572693,7.477034949479786,0.7269244356447168,13795974,14891868,10
t600,25,1.0,0.6601043939590454,6.345159364687482,0.8125545571389043,13795974,14891868,25
t600,50,1.0,0.756177544593811,5.374110480935772,0.8697686823781615,13795974,14891868,50
t600,100,1.0,0.7899651527404785,4.987873248902696,0.8889451782819394,13795974,14891868,100
t600,200,1.0,0.8298908472061157,4.4888340914144,0.9111498593203582,13795974,14891868,200
t600,400,1.0,0.8556728363037109,4.134698044662056,0.9251272404159445,13795974,14891868,400
t700,5,1.0,0.42644935846328735,8.672072949598848,0.653258199263945,13795974,14891868,5
t700,10,1.0,0.5284757018089294,7.863014910262088,0.7272187557711935,13795974,14891868,10
t700,25,1.0,0.6496485471725464,6.777804154030317,0.8060841299586015,13795974,14891868,25
t700,50,1.0,0.7497479915618896,5.7283005308237405,0.8661025883479482,13795974,14891868,50
t700,100,1.0,0.7866108417510986,5.289604486055312,0.8870747360056392,13795974,14891868,100
t700,200,1.0,0.827983558177948,4.749217521063647,0.9101252440331533,13795974,14891868,200
t700,400,1.0,0.8541925549507141,4.372470451416538,0.9243287331801116,13795974,14891868,400
t850,5,1.0,0.39911067485809326,9.477301132462294,0.6321429839741536,13795974,14891868,5
t850,10,1.0,0.4951940178871155,8.686597159696296,0.7041137179341371,13795974,14891868,10
t850,25,1.0,0.6403688788414001,7.331892074215185,0.8003752550166879,13795974,14891868,25
t850,50,1.0,0.7440308332443237,6.18559127806134,0.8628636910203443,13795974,14891868,50
t850,100,1.0,0.7860333919525146,5.655362728772943,0.8867912251690451,13795974,14891868,100
t850,200,1.0,0.8272514939308167,5.081531121804738,0.9097439479999064,13795974,14891868,200
t850,400,1.0,0.8536345362663269,4.677424066560301,0.9240532663894527,13795974,14891868,400
t1000,5,1.0,0.3538377285003662,10.688954393798996,0.5954254161392256,13795974,14891868,5
t1000,10,1.0,0.49028974771499634,9.493494315907704,0.7008523282776694,13795974,14891868,10
t1000,25,1.0,0.641198992729187,7.965100458712546,0.801031097965195,13795974,14891868,25
t1000,50,1.0,0.7492992877960205,6.657975094181138,0.8660431983330588,13795974,14891868,50
t1000,100,1.0,0.7903573513031006,6.088414443497668,0.8893888891177252,13795974,14891868,100
t1000,200,1.0,0.8291289210319519,5.496658003418347,0.9109167865178339,13795974,14891868,200
t1000,400,1.0,0.8548316359519958,5.066410579400135,0.9248132663792709,13795974,14891868,400
u50,5,1.0,0.18274962902069092,13.397810549289328,0.449041339952968,13795974,14891868,5
u50,10,1.0,0.276101291179657,12.60942219438194,0.5433347998966533,13795974,14891868,10
u50,25,1.0,0.33640122413635254,12.07282917735951,0.6005973280604586,13795974,14891868,25
u50,50,1.0,0.505428671836853,10.422471608438707,0.7225661918100285,13795974,14891868,50
u50,100,1.0,0.5817219018936157,9.584927456720052,0.7718854115676159,13795974,14891868,100
u50,200,1.0,0.6671046018600464,8.550867351239644,0.8215626518419752,13795974,14891868,200
u50,400,1.0,0.7076326608657837,8.013471228523322,0.8446575096509715,13795974,14891868,400
u250,5,1.0,0.14869970083236694,17.094488208180127,0.385835000532305,13795974,14891868,5
u250,10,1.0,0.17332959175109863,16.845384168176086,0.4164533267933748,13795974,14891868,10
u250,25,1.0,0.5451071262359619,12.49595027172241,0.7386008431029737,13795974,14891868,25
u250,50,1.0,0.6109386086463928,11.556432503248935,0.7818549336564387,13795974,14891868,50
u250,100,1.0,0.6853407621383667,10.39285800430077,0.8282252022102455,13795974,14891868,100
u250,200,1.0,0.7512943148612976,9.239693751028383,0.8668266650263616,13795974,14891868,200
u250,400,1.0,0.7933312654495239,8.422715635225673,0.8907239501881445,13795974,14891868,400
u500,5,1.0,0.1764327883720398,10.81166911378067,0.4200501670880167,13795974,14891868,5
u500,10,1.0,0.242395281791687,10.36966135941692,0.49236599428691935,13795974,14891868,10
u500,25,1.0,0.5745713114738464,7.770636862008862,0.7581722602715563,13795974,14891868,25
u500,50,1.0,0.6280992031097412,7.265354077610181,0.7926965357809964,13795974,14891868,50
u500,100,1.0,0.7040688991546631,6.480947595234645,0.8393658971380449,13795974,14891868,100
u500,200,1.0,0.7615070343017578,5.818097772316346,0.8726946235735247,13795974,14891868,200
u500,400,1.0,0.8062753677368164,5.243673236271408,0.8979751663534747,13795974,14891868,400
u600,5,1.0,0.18643397092819214,9.352716436871972,0.4318050666188325,13795974,14891868,5
u600,10,1.0,0.27545082569122314,8.82623130270157,0.524930664636399,13795974,14891868,10
u600,25,1.0,0.5943413972854614,6.604222374650034,0.771017918805786,13795974,14891868,25
u600,50,1.0,0.6521320343017578,6.11573402023021,0.8075974277806496,13795974,14891868,50
u600,100,1.0,0.721586287021637,5.471251520510055,0.8496120101864116,13795974,14891868,100
u600,200,1.0,0.7721280455589294,4.949790433820922,0.8787396022047328,13795974,14891868,200
u600,400,1.0,0.8138647675514221,4.473584527715032,0.9021751525546704,13795974,14891868,400
u700,5,1.0,0.1891443133354187,8.34325118841968,0.43495467832980733,13795974,14891868,5
u700,10,1.0,0.3082394599914551,7.706220705049372,0.5553568154967583,13795974,14891868,10
u700,25,1.0,0.6260297894477844,5.6660718418660645,0.7912840193793371,13795974,14891868,25
u700,50,1.0,0.6677596569061279,5.340596121614524,0.8171874520479715,13795974,14891868,50
u700,100,1.0,0.7349992990493774,4.769656018024092,0.8574179184938183,13795974,14891868,100
u700,200,1.0,0.7819536924362183,4.32651244603303,0.8843070681695712,13795974,14891868,200
u700,400,1.0,0.8201093077659607,3.929776685548278,0.9056377973157685,13795974,14891868,400
