feature,label,category,score
v_component_of_wind_lev12,V wind 150 hPa,V wind,0.17678241
v_component_of_wind_lev14,V wind 200 hPa,V wind,0.19585204
v_component_of_wind_lev16,V wind 250 hPa,V wind,0.17681532
v_component_of_wind_lev17,V wind 300 hPa,V wind,0.15407074
v_component_of_wind_lev19,V wind 400 hPa,V wind,0.10906912
v_component_of_wind_lev21,V wind 500 hPa,V wind,0.082792195
v_component_of_wind_lev23,V wind 600 hPa,V wind,0.091899765
v_component_of_wind_lev25,V wind 700 hPa,V wind,0.13228289
v_component_of_wind_lev30,V wind 850 hPa,V wind,0.27550119
v_component_of_wind_lev33,V wind 925 hPa,V wind,0.34909231
v_component_of_wind_lev36,V wind 1000 hPa,V wind,0.37077872
vertical_velocity_lev08,Vertical velocity 50 hPa,Vertical velocity,0.072920106
vertical_velocity_lev10,Vertical velocity 100 hPa,Vertical velocity,0.12945275
vertical_velocity_lev12,Vertical velocity 150 hPa,Vertical velocity,0.062128706
vertical_velocity_lev14,Vertical velocity 200 hPa,Vertical velocity,0.07765717
vertical_velocity_lev16,Vertical velocity 250 hPa,Vertical velocity,0.067718561
vertical_velocity_lev17,Vertical velocity 300 hPa,Vertical velocity,0.10414139
vertical_velocity_lev19,Vertical velocity 400 hPa,Vertical velocity,0.14548931
vertical_velocity_lev21,Vertical velocity 500 hPa,Vertical velocity,0.11341834
vertical_velocity_lev23,Vertical velocity 600 hPa,Vertical velocity,0.068779799
vertical_velocity_lev25,Vertical velocity 700 hPa,Vertical velocity,0.094810515
vertical_velocity_lev30,Vertical velocity 850 hPa,Vertical velocity,0.090040549
vertical_velocity_lev33,Vertical velocity 925 hPa,Vertical velocity,0.15650743
vertical_velocity_lev36,Vertical velocity 1000 hPa,Vertical velocity,0.16636622
