pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_189,189,1453,geopotential_lev00,0.06443069913435849,7,1453,geopotential_lev01,0.06300461169324194,3,1453,geopotential_lev02,0.06217429404750999,2,1453
PC_190,190,1453,vertical_velocity_lev11,0.050657068447165665,50,1453,10m_v_component_of_wind,0.04976662632751657,89,1453,vertical_velocity_lev10,0.04788567915466516,25,1453
PC_191,191,1453,specific_humidity_lev10,0.0676494989159569,245,1453,vertical_velocity_lev11,0.059920730097962865,23,1453,v_component_of_wind_lev09,0.05235888229001255,66,1453
PC_192,192,1453,temperature_lev10,0.08048206051638745,168,1453,geopotential_lev22,0.07800747287455345,3,1453,geopotential_lev21,0.0779894349837353,0,1453
PC_193,193,1453,specific_humidity_lev02,0.07180705861730007,64,1453,temperature_lev12,0.06946905963919946,86,1453,specific_humidity_lev01,0.06906291215496298,71,1453
PC_194,194,1453,specific_humidity_lev02,0.06581706342868077,114,1453,specific_humidity_lev03,0.06256261543034257,55,1453,specific_humidity_lev07,0.06217198425981539,74,1453
PC_195,195,1453,specific_humidity_lev11,0.07412540374257386,217,1453,specific_humidity_lev12,0.06838647006506998,64,1453,specific_humidity_lev05,0.06262353894472708,37,1453
PC_196,196,1453,vertical_velocity_lev09,0.07394096610930005,121,1453,vertical_velocity_lev34,0.06260836551863898,37,1453,vertical_velocity_lev33,0.062029088896172695,24,1453
PC_197,197,1453,vertical_velocity_lev26,0.07506603078662846,115,1453,vertical_velocity_lev27,0.07489777673696055,100,1453,vertical_velocity_lev28,0.0734090540397538,33,1453
PC_198,198,1453,v_component_of_wind_lev09,0.08638050588384157,344,1453,v_component_of_wind_lev11,0.07633523619164895,147,1453,v_component_of_wind_lev16,0.07401981669523858,50,1453
PC_199,199,1453,vertical_velocity_lev34,0.10664224815128676,340,1453,vertical_velocity_lev35,0.10345160359925676,239,1453,vertical_velocity_lev33,0.10254122500153386,46,1453
PC_200,200,1453,v_component_of_wind_lev10,0.10729013621402969,746,1453,vertical_velocity_lev31,0.07187103381199686,114,1453,vertical_velocity_lev30,0.07158685485831272,33,1453
PC_201,201,1453,vertical_velocity_lev36,0.08205081976460471,482,1453,vertical_velocity_lev35,0.069963414296354,0,1453,specific_humidity_lev14,0.064949169861222,182,1453
PC_202,202,1453,toa_incident_solar_radiation,0.07102489365963854,265,1453,specific_humidity_lev14,0.06592053602499641,94,1453,specific_humidity_lev15,0.06432764633613253,34,1453
PC_203,203,1453,vertical_velocity_lev12,0.08952677022237575,320,1453,vertical_velocity_lev13,0.08122508573433652,33,1453,vertical_velocity_lev10,0.07848051535087418,211,1453
PC_204,204,1453,v_component_of_wind_lev09,0.09658140396662133,606,1453,v_component_of_wind_lev08,0.06200734037371457,14,1453,v_component_of_wind_lev07,0.06171156338533256,18,1453
PC_205,205,1453,vertical_velocity_lev10,0.07477983938711481,301,1453,specific_humidity_lev25,0.053597909021633944,214,1453,vertical_velocity_lev30,0.05185677008610411,98,1453
PC_206,206,1453,local_time_cos,0.05572455603716001,33,1453,toa_incident_solar_radiation,0.053483485823145153,183,1453,vertical_velocity_lev35,0.04914796072028254,56,1453
PC_207,207,1453,specific_humidity_lev11,0.0780329115293846,612,1453,local_time_cos,0.045713254076769266,3,1453,toa_incident_solar_radiation,0.043819607155580934,84,1453
PC_208,208,1453,specific_humidity_lev08,0.07589242934531847,271,1453,specific_humidity_lev07,0.06898006489688788,203,1453,v_component_of_wind_lev09,0.06852582333445535,174,1453
